amostra,tamanho,arquivo,teor_carbono,teor_nitrogenio,qtd_mat_org,nitrog_calc,classe,class
C10,256x256,C10A-101.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-102.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-103.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-104.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-105.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-106.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-107.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-108.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-109.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-117.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-118.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-119.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-120.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-121.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-122.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-123.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-124.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-125.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-133.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-134.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-135.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
C10,256x256,C10A-136.png,2.91,0.19,5.01684,0.250842,Cambisolo,1
