amostra,tamanho,arquivo,teor_carbono,teor_nitrogenio,qtd_mat_org,nitrog_calc,classe,class
C1,256x256,C1A-101.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-102.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-103.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-104.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-105.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-106.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-107.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-108.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-117.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-118.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-119.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-120.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-121.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-122.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-123.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-124.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-133.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-134.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-135.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-136.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-137.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-138.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-139.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-140.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
